GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cluecumber Maven Plugin for Cucumber Reports,com.trivago.cluecumber,CluecumberReportPlugin,0,93,0,0,0,18,0,2,0,2
Cluecumber Maven Plugin for Cucumber Reports,com.trivago.cluecumber.logging,CluecumberLogger,10,11,0,0,4,5,2,2,2,2
